iter	Passed	Remaining
687	3630	1646
688	3634	1640
689	3638	1634
690	3643	1629
691	3646	1622
692	3649	1616
693	3653	1610
694	3655	1604
695	3658	1598
696	3662	1591
697	3665	1586
698	3669	1579
699	3672	1573
700	3676	1568
701	3679	1561
702	3681	1555
703	3683	1548
704	3686	1542
705	3688	1536
706	3691	1530
707	3697	1524
708	3704	1520
709	3710	1515
710	3715	1510
711	3718	1504
712	3722	1498
713	3725	1492
714	3727	1485
715	3730	1479
716	3733	1473
717	3736	1467
718	3739	1461
719	3742	1455
720	3744	1449
721	3747	1442
722	3750	1436
723	3753	1430
724	3757	1425
725	3760	1419
726	3763	1413
727	3766	1407
728	3769	1401
729	3774	1396
730	3777	1390
731	3780	1384
732	3783	1377
733	3785	1371
734	3790	1366
735	3795	1361
736	3799	1355
737	3801	1349
738	3804	1343
739	3806	1337
740	3809	1331
741	3811	1325
742	3815	1319
743	3817	1313
744	3820	1307
745	3822	1301
746	3825	1295
747	3829	1290
748	3833	1284
749	3836	1278
750	3840	1273
751	3842	1267
752	3845	1261
753	3848	1255
754	3851	1249
755	3853	1243
756	3856	1237
757	3858	1231
758	3862	1226
759	3864	1220
760	3867	1214
761	3869	1208
762	3872	1202
763	3876	1197
764	3878	1191
765	3880	1185
766	3883	1179
767	3885	1173
768	3889	1168
769	3891	1162
770	3894	1156
771	3898	1151
772	3900	1145
773	3904	1139
774	3907	1134
775	3910	1128
776	3913	1123
777	3916	1117
778	3919	1111
779	3922	1106
780	3925	1100
781	3928	1095
782	3930	1089
783	3933	1083
784	3936	1078
785	3938	1072
786	3941	1066
787	3943	1060
788	3946	1055
789	3949	1049
790	3952	1044
791	3955	1038
792	3958	1033
793	3962	1028
794	3965	1022
795	3967	1016
796	3970	1011
797	3973	1005
798	3977	1000
799	3979	994
800	3982	989
801	3985	983
802	3987	978
803	3991	972
804	3993	967
805	3996	962
806	3999	956
807	4001	950
808	4005	945
809	4009	940
810	4012	935
811	4014	929
812	4018	924
813	4020	918
814	4025	913
815	4028	908
816	4031	903
817	4034	897
818	4037	892
819	4039	886
820	4042	881
821	4045	875
822	4047	870
823	4050	865
824	4052	859
825	4057	854
826	4059	849
827	4062	843
828	4064	838
829	4067	833
830	4069	827
831	4072	822
832	4074	816
833	4077	811
834	4079	806
835	4081	800
836	4084	795
837	4086	790
838	4089	784
839	4092	779
840	4094	774
841	4098	769
842	4100	763
843	4104	758
844	4107	753
845	4111	748
846	4114	743
847	4118	738
848	4121	733
849	4124	727
850	4126	722
851	4128	717
852	4131	712
853	4134	706
854	4136	701
855	4139	696
856	4142	691
857	4145	686
858	4148	680
859	4150	675
860	4153	670
861	4156	665
862	4159	660
863	4161	655
864	4165	650
865	4167	644
866	4170	639
867	4173	634
868	4175	629
869	4178	624
870	4181	619
871	4184	614
872	4187	609
873	4189	603
874	4192	598
875	4195	593
876	4197	588
877	4202	583
878	4205	578
879	4207	573
880	4210	568
881	4214	563
882	4216	558
883	4220	553
884	4227	549
885	4231	544
886	4236	539
887	4242	535
888	4245	530
889	4248	525
890	4251	520
891	4276	517
892	4280	512
893	4284	508
894	4287	502
895	4290	497
896	4293	492
897	4296	488
898	4299	483
899	4302	478
900	4304	473
901	4307	467
902	4309	462
903	4311	457
904	4314	452
905	4317	447
906	4319	442
907	4322	437
908	4326	433
909	4330	428
910	4333	423
911	4335	418
912	4338	413
913	4340	408
914	4343	403
915	4345	398
916	4347	393
917	4349	388
918	4352	383
919	4354	378
920	4356	373
921	4359	368
922	4361	363
923	4364	358
924	4366	354
925	4368	349
926	4370	344
927	4372	339
928	4375	334
929	4377	329
930	4379	324
931	4381	319
932	4384	314
933	4387	310
934	4390	305
935	4395	300
936	4397	295
937	4399	290
938	4402	285
939	4404	281
940	4406	276
941	4408	271
942	4411	266
943	4413	261
944	4415	256
945	4418	252
946	4420	247
947	4422	242
948	4425	237
949	4428	233
950	4431	228
951	4434	223
952	4438	218
953	4441	214
954	4443	209
955	4445	204
956	4447	199
957	4449	195
958	4452	190
959	4454	185
960	4456	180
961	4458	176
962	4461	171
963	4463	166
964	4465	161
965	4467	157
966	4469	152
967	4471	147
968	4474	143
969	4476	138
970	4478	133
971	4480	129
972	4482	124
973	4485	119
974	4487	115
975	4489	110
976	4491	105
977	4494	101
978	4496	96
979	4498	91
980	4500	87
981	4503	82
982	4505	77
983	4507	73
984	4509	68
985	4512	64
986	4517	59
987	4519	54
988	4522	50
989	4525	45
990	4528	41
991	4530	36
992	4534	31
993	4537	27
994	4540	22
995	4543	18
996	4546	13
997	4549	9
998	4552	4
999	4554	0
